Identificador del parque,Estrato,Localidad,Estado Certificación,Clasificación del Parque,Nombre del Parque,Código Localidad,coord_x,coord_y
08-607,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD URBISA I Y II SECTOR - CASTILLA REAL,8,"-74,1325707101478","4,6468078021661885"
08-619,2,Kennedy,CERTIFICADO,Bolsillo,EL PALENQUE,8,"-74,16078536759565","4,614210719831754"
08-621,3,Kennedy,CERTIFICADO,Bolsillo,MORABIA II,8,"-74,14985615662522","4,605771961606825"
08-624,3,Kennedy,INVESTIGADO NO CERTIFICADO,Vecinal,RENANIA I Y II ETAPA,8,"-74,14728791095716","4,603336715281859"
08-625,3,Kennedy,CERTIFICADO,Bolsillo,LAGO TIMIZA 1A ETAPA,8,"-74,15956022230412","4,60823457178528"
08-627,3,Kennedy,CERTIFICADO,Vecinal,SENDEROS DE CASTILLA,8,"-74,14667366856787","4,639210365817107"
08-628,2,Kennedy,CERTIFICADO,Vecinal,SENDEROS DE CASTILLA,8,"-74,14763336393871","4,639825425802131"
02-159,4,Chapinero,CERTIFICADO,Bolsillo,LA MARINA,2,"-74,05938858281371","4,640686123881505"
02-160,5,Chapinero,CERTIFICADO,Bolsillo,LA MARINA,2,"-74,05840933516154","4,640360111875491"
08-741,2,Kennedy,CERTIFICADO,Bolsillo,URBANIZACIÓN NAGUARA AMÉRICAS (ANTES PORTAL DE ABASTO),8,"-74,15589371927675","4,637804652512655"
08-778,3,Kennedy,SIN CERTIFICAR,Vecinal,CIUDAD KENNEDY,8,"-74,14883897356775","4,616857035113421"
08-780,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN TIMIZA,8,"-74,1541714853837","4,612685133976617"
08-779,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN TIMIZA,8,"-74,15804352564302","4,612446348022992"
16-325,4,Puente Aranda,CERTIFICADO,Bolsillo,GORGONZOLA (SECTOR INDUSTRIAL),16,"-74,10566663271575","4,620838840783769"
08-587,2,Kennedy,CERTIFICADO,Vecinal,PATIO BONITO I,8,"-74,1650129008573","4,634288542777396"
08-640,3,Kennedy,CERTIFICADO,Vecinal,CARVAJAL,8,"-74,14190968657135","4,618316937932095"
08-201,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD KENNEDY ORIENTAL SUPERMANZANA 16,8,"-74,1594063943457","4,617709578126927"
08-024,3,Kennedy,CERTIFICADO,Vecinal,EL PORTAL DE LAS AMÉRICAS/ AGRUPACIÓN LOS HIDALGOS,8,"-74,13964834852348","4,633754811061829"
08-370,3,Kennedy,CERTIFICADO,Bolsillo,CIUDAD KENNEDY SUPERMANZANA 6A,8,"-74,14726895021644","4,617512191753496"
08-395,3,Kennedy,CERTIFICADO,Vecinal,UNIDAD RESIDENCIAL GLORIETA DE LAS AMÉRICAS,8,"-74,1440819355484","4,623487206887365"
08-087,2,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN NUEVA FABRICA (ANTES INDUSTRIAL LAS DELICIAS),8,"-74,15049445050792","4,598032782167509"
08-268,3,Kennedy,CERTIFICADO,Vecinal,AGRUPACIÓN DE VIVIENDA EL PARAÍSO (BARRIO KENNEDY),8,"-74,16622957548486","4,618816508355222"
08-354,3,Kennedy,CERTIFICADO,Vecinal,TUNDAMA II ETAPA,8,"-74,14814172100715","4,60203221662244"
08-340,3,Kennedy,CERTIFICADO,Vecinal,KENNEDY NORTE SUPERMANZANA 11,8,"-74,16306356836887","4,616399977636971"
08-194,3,Kennedy,CERTIFICADO,Vecinal,KENNEDY NORTE SUPERMANZANA 11,8,"-74,16174805076312","4,616521124623932"
08-218,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN NUEVA ROMA ULTIMA ETAPA,8,"-74,17137391001171","4,606111889985339"
08-364,3,Kennedy,CERTIFICADO,Vecinal,COOPDESARROLLO SUR TUNDAMA I ETAPA,8,"-74,1496243023487","4,602423871536992"
08-368,3,Kennedy,CERTIFICADO,Vecinal,CIUDAD KENNEDY SUPERMANZANA 6A,8,"-74,15145187987846","4,616217156141335"
08-373,3,Kennedy,CERTIFICADO,Vecinal,URBANIZACIÓN LUCERNA I Y II ETAPA,8,"-74,14681733074136","4,614307532501638"
08-559,3,Kennedy,CERTIFICADO,Vecinal,VILLA EMILIA,8,"-74,13000081652035","4,617577332501633"
08-568,2,Kennedy,CERTIFICADO,Vecinal,LA ALEJANDRA,8,"-74,14872561111963","4,6055150670058485"
08-571,3,Kennedy,CERTIFICADO,Vecinal,BOSQUES DE KENNEDY,8,"-74,15648438493224","4,621071861552799"
